id	name	country	latitude	longitude	cs_number	RegMap	G1001
6990	Amel-1	NED	53.448	5.73	CS76434	TRUE	TRUE
6991	Ange-1	France	47.4736	-0.5541		FALSE	FALSE
6992	Ang-0	Belgium	50.3	5.3	CS76436	TRUE	TRUE
6993	Ang-1	Belgium	50.3	5.3		FALSE	FALSE
6994	Ann-1	France	45.9	6.13028		TRUE	FALSE
6996	An-2	Belgium	51.2167	4.4		TRUE	FALSE
6997	Appt-1	NED	51.8333	5.5833	CS76440	FALSE	TRUE
6998	Arby-1	Sweden	59.43078	16.79994		TRUE	FALSE
7000	Aa-0	GER	50.9167	9.57073	CS76428	TRUE	TRUE
7001	Aur-0	US	45.2296	-122.756		FALSE	FALSE
7002	Baa-1	NED	51.3333	6.1	CS76442	TRUE	TRUE
7003	Bs-1	SUI	47.5	7.5	CS78888	FALSE	TRUE
7004	Bs-2	SUI	47.5	7.5		TRUE	FALSE
7005	Bs-5	SUI	47.5	7.5		FALSE	FALSE
7008	Benk-1	NED	52	5.675	CS76447	TRUE	TRUE
7009	Benk-2	NED	52	5.675		FALSE	FALSE
7010	Be-0	GER	49.6803	8.6161		FALSE	FALSE
7011	Be-1	GER	49.6803	8.6161		TRUE	FALSE
7012	Berkeley	US	37.8695	-122.271		FALSE	FALSE
7013	Bd-0	GER	52.4584	13.287	CS76445	TRUE	TRUE
7014	Ba-1	UK	56.5459	-4.79821	CS76441	TRUE	TRUE
7015	Bla-1	Spain	41.6833	2.8		TRUE	FALSE
7016	Bla-10	Spain	41.6833	2.8		FALSE	FALSE
7017	Bla-11	Spain	41.6833	2.8		TRUE	FALSE
7018	Bla-12	Spain	41.6833	2.8		FALSE	FALSE
7019	Bla-14	Spain	41.6833	2.8		FALSE	FALSE
7020	Bla-2	Spain	41.6833	2.8		FALSE	FALSE
7021	Bla-3	Spain	41.6833	2.8		FALSE	FALSE
7022	Bla-4	Spain	41.6833	2.8		FALSE	FALSE
7023	Bla-5	Spain	41.6833	2.8		FALSE	FALSE
7024	Bla-6	Spain	41.6833	2.8		TRUE	FALSE
7025	Bl-1	Italy	44.5041	11.3396	CS76450	FALSE	TRUE
7026	Boot-1	UK	54.4	-3.2667	CS76452	TRUE	TRUE
7028	Bch-1	GER	49.5166	9.3166	CS76444	TRUE	TRUE
7029	Bch-3	GER	49.5166	9.3166		TRUE	FALSE
7030	Bch-4	GER	49.5166	9.3166		TRUE	FALSE
7031	Bsch-0	GER	50.0167	8.6667	CS76457	TRUE	TRUE
7032	Bsch-2	GER	50.0167	8.6667		TRUE	FALSE
7033	Buckhorn Pass	US	41.3599	-122.755	CS76733	TRUE	TRUE
7034	Blh-1	Czech Republic	48.3	19.85		TRUE	FALSE
7035	Blh-2	Czech Republic	48	19		TRUE	FALSE
7036	Bu-0	GER	50.5	9.5	CS78889	FALSE	TRUE
7037	Bu-11	GER	50.5	9.5		FALSE	FALSE
7038	Bu-13	GER	50.5	9.5		FALSE	FALSE
7039	Bu-14	GER	50.5	9.5		FALSE	FALSE
7040	Bu-15	GER	50.5	9.5		FALSE	FALSE
7041	Bu-17	GER	50.5	9.5		FALSE	FALSE
7042	Bu-18	GER	50.5	9.5		FALSE	FALSE
7043	Bu-19	GER	50.5	9.5		FALSE	FALSE
7044	Bu-2	GER	50.5	9.5		FALSE	FALSE
7045	Bu-20	GER	50.5	9.5		FALSE	FALSE
7046	Bu-21	GER	50.5	9.5		FALSE	FALSE
7047	Bu-22	GER	50.5	9.5		FALSE	FALSE
7048	Bu-23	GER	50.5	9.5		FALSE	FALSE
7049	Bu-24	GER	50.5	9.5		FALSE	FALSE
7050	Bu-25	GER	50.5	9.5		FALSE	FALSE
7051	Bu-3	GER	50.5	9.5		FALSE	FALSE
7052	Bu-4	GER	50.5	9.5		FALSE	FALSE
7053	Bu-5	GER	50.5	9.5		FALSE	FALSE
7054	Bu-6	GER	50.5	9.5		FALSE	FALSE
7055	Bu-7	GER	50.5	9.5		FALSE	FALSE
7056	Bu-8	GER	50.5	9.5		FALSE	FALSE
7057	Bu-9	GER	50.5	9.5		FALSE	FALSE
7058	Bur-0	Ireland	54.1	-6.2	CS76734	FALSE	TRUE
7061	Cal-0	UK	53.2699	-1.64293	CS76460	FALSE	TRUE
7062	Ca-0	GER	50.2981	8.26607	CS76459	TRUE	TRUE
7063	Can-0	Spain	29.2144	-13.4811	CS76740	FALSE	TRUE
7064	Cnt-1	UK	51.3	1.1	CS76467	TRUE	TRUE
7066	Cvi-1	Cape Verde	15.1111	-23.6167		FALSE	FALSE
7067	Ct-1	Italy	37.3	15	CS76786	FALSE	TRUE
7068	Cerv-1	Italy	42	12.1	CS76462	FALSE	TRUE
7069	Cha-0	SUI	46.0333	7.1167		TRUE	FALSE
7070	Cha-1	SUI	46.0333	7.1167		FALSE	FALSE
7071	Chat-1	France	48.0717	1.33867	CS76463	TRUE	TRUE
7072	Chi-0	Russia	53.7502	34.7361	CS76464	FALSE	TRUE
7073	Chi-1	Russia	53.7502	34.7361		TRUE	FALSE
7074	Chi-2	Russia	53.7502	34.7361		FALSE	FALSE
7075	Cit-0	France	43.3779	2.54038		TRUE	FALSE
7076	Cl-0	UNK	NA	NA		FALSE	FALSE
7077	Co-1	POR	40.12	-8.25	CS76468	FALSE	TRUE
7078	Co-2	POR	40.12	-8.25		TRUE	FALSE
7079	Co-3	POR	40.12	-8.25		TRUE	FALSE
7080	Co-4	POR	40.12	-8.25		TRUE	FALSE
7081	Co	POR	40.2077	-8.42639	CS78895	TRUE	TRUE
7083	Col-4	US	38.3	-92.3		FALSE	FALSE
7084	Col-7	US	38.3	-92.3		FALSE	FALSE
7085	Col-3	US	38.3	-92.3		FALSE	FALSE
7086	Col-5	US	38.3	-92.3		FALSE	FALSE
7087	Col-1	US	38.3	-92.3		FALSE	FALSE
7088	Col-8	US	38.3	-92.3		FALSE	FALSE
7089	Col(gl1)	US	38.3	-92.3		FALSE	FALSE
7090	Col-2	US	38.3	-92.3		FALSE	FALSE
7091	Col-6(gl1)	US	38.3	-92.3		FALSE	FALSE
7092	Com-1	France	49.416	2.823	CS76469	TRUE	TRUE
7093	Condara	Tajikistan	38.48	68.49		FALSE	FALSE
7094	Da-0	GER	49.8724	8.65081	CS76791	TRUE	TRUE
7095	Di-M	France	47	5		FALSE	FALSE
7096	Di-G	France	47.3239	5.04278	CS76472	FALSE	TRUE
7097	Di-0	France	47	5		FALSE	FALSE
7098	Di-1	France	47	5		TRUE	FALSE
7099	Di-2	France	47	5		FALSE	FALSE
7100	Db-0	GER	50.3055	8.324		TRUE	FALSE
7101	Db-2	GER	50.3055	8.324		FALSE	FALSE
7102	Do-0	GER	50.7224	8.2372	CS76474	TRUE	TRUE
7103	Dra-0	Czech Republic	49.4167	16.2667	CS76476	FALSE	TRUE
7104	Dra-1	Czech Republic	49.4167	16.2667		TRUE	FALSE
7105	Dra-2	Czech Republic	49.4167	16.2667		TRUE	FALSE
7106	Dr-0	GER	51.051	13.7336	CS78897	TRUE	TRUE
7107	Durh-1	UK	54.7761	-1.5733	CS76477	FALSE	TRUE
7108	Durh-2	UK	54.7761	-1.5733		FALSE	FALSE
7109	Ema-1	UK	51.3	0.5	CS76480	TRUE	TRUE
7110	Ede-1	NED	52.0333	5.66667		TRUE	FALSE
7111	Edi-0	UK	55.9494	-3.16028	CS76831	FALSE	TRUE
7113	Ei-4	GER	50.3	6.3		TRUE	FALSE
7114	Ei-5	GER	50.3	6.3		FALSE	FALSE
7115	Ei-6	GER	50.3	6.3		FALSE	FALSE
7116	Eil-0	GER	51.4599	12.6327		TRUE	FALSE
7117	El-0	GER	51.5105	9.68253	CS76479	TRUE	TRUE
7119	En-2	GER	50	8.5	CS76481	FALSE	TRUE
7120	En-D	GER	50	8.5	CS76482	FALSE	TRUE
7121	En-T	GER	50	8.5		TRUE	FALSE
7123	Ep-0	GER	50.1721	8.38912		TRUE	FALSE
7124	Eri-1	Sweden	56.4333	15.35		FALSE	FALSE
7125	Er-0	GER	49.5955	11.0087	CS78898	FALSE	TRUE
7126	Es-0	Finland	60.1997	24.5682	CS76484	TRUE	TRUE
7127	Est	Estonia	58.6656	24.9871	CS76485	FALSE	TRUE
7128	Est-0	Russia	58.3	25.3		TRUE	FALSE
7130	Et-0	France	44.6447	2.56481	CS76486	FALSE	TRUE
7131	Fr-5	GER	50.1102	8.6822		FALSE	FALSE
7132	Fr-6	GER	50.1102	8.6822		FALSE	FALSE
7133	Fr-2	GER	50.1102	8.6822	CS76489	FALSE	TRUE
7134	Fr-3	GER	50.1102	8.6822		FALSE	FALSE
7135	Fr-4	GER	50.1102	8.6822		TRUE	FALSE
7136	Fr-7	GER	50.1102	8.6822		FALSE	FALSE
7137	Fe-1	GER	47.9995	7.84516		FALSE	FALSE
7138	Fi-0	GER	50.5	8.0167	CS76488	FALSE	TRUE
7139	Fi-1	GER	50.5	8.0167		TRUE	FALSE
7141	Ga-2	GER	50.3	8		TRUE	FALSE
7142	Gdn-0	Romania	45.7506	21.2075		FALSE	FALSE
7143	Gel-1	NED	51.0167	5.86667	CS76492	TRUE	TRUE
7145	Ge-1	SUI	46.5	6.08		TRUE	FALSE
7146	Ge-2	SUI	46.5	6.08		FALSE	FALSE
7147	Gie-0	GER	50.584	8.67825	CS76493	TRUE	TRUE
7148	Gifu-2	Japan	35.45	137.42		FALSE	FALSE
7149	Gu-0	GER	50.3	8		TRUE	FALSE
7150	Gu-1	GER	50.3	8		TRUE	FALSE
7151	Go-0	GER	51.5338	9.9355		TRUE	FALSE
7152	Go-2	GER	51.5338	9.9355		TRUE	FALSE
7153	Gr-3	Austria	47	15.5		FALSE	FALSE
7154	Gr3	Austria	47.0705	15.4381		FALSE	FALSE
7156	Gr-2	Austria	47	15.5		FALSE	FALSE
7157	Gr-4	Austria	47	15.5		FALSE	FALSE
7158	Gr-5	Austria	47	15.5	CS76885	TRUE	TRUE
7159	Gr-6	Austria	47	15.5		FALSE	FALSE
7160	Gre-0	US	43.178	-85.2532	CS76497	FALSE	TRUE
7161	Gd-1	GER	53.5	10.5	CS76491	FALSE	TRUE
7162	Hs-0	GER	52.24	9.44	CS76515	FALSE	TRUE
7163	Ha-0	GER	52.3721	9.73569	CS76500	TRUE	TRUE
7164	Hau-0	DEN	55.675	12.5686	CS76915	TRUE	TRUE
7165	Hn-0	GER	51.3472	8.28844	CS76513	TRUE	TRUE
7166	Hey-1	NED	51.25	5.9		TRUE	FALSE
