Locus	TAIR.internal.locus.id	GO.term	category	Evidence.code
AT5G10140	2184118	DNA-binding transcription factor activity	func	ISS
AT5G10140	2184118	protein dimerization activity	func	IEA
AT5G10140	2184118	DNA-binding transcription factor activity	func	TAS
AT5G10140	2184118	DNA-binding transcription factor activity	func	IDA
AT5G10140	2184118	DNA-binding transcription factor activity, RNA polymerase II-specific	func	IBA
AT5G10140	2184118	response to temperature stimulus	proc	IDA
AT5G10140	2184118	vernalization response	proc	IEP
AT5G10140	2184118	negative regulation of flower development	proc	IBA
AT5G10140	2184118	protein binding	func	IPI
AT5G10140	2184118	RNA polymerase II cis-regulatory region sequence-specific DNA binding	func	IBA
AT5G10140	2184118	protein binding	func	IPI
AT5G10140	2184118	regulation of circadian rhythm	proc	IMP
AT5G10140	2184118	regulation of photoperiodism, flowering	proc	IMP
AT5G10140	2184118	transcription cis-regulatory region binding	func	IPI
AT5G10140	2184118	DNA-binding transcription factor activity	func	ISS
AT5G10140	2184118	response to temperature stimulus	proc	IMP
AT5G10140	2184118	RNA polymerase II transcription regulatory region sequence-specific DNA binding	func	IEA
AT5G10140	2184118	regulation of transcription by RNA polymerase II	proc	IBA
AT5G10140	2184118	positive regulation of transcription by RNA polymerase II	proc	IEA
AT5G10140	2184118	negative regulation of flower development	proc	IMP
AT5G10150	2184133	regulation of cell division	proc	IMP
AT5G10150	2184133	protein binding	func	IPI
AT5G10150	2184133	plant organ morphogenesis	proc	IMP
AT5G10150	2184133	specification of plant organ axis polarity	proc	IMP
AT5G10150	2184133	regulation of root morphogenesis	proc	IMP
AT5G10150	2184133	protein homodimerization activity	func	IDA
AT5G10170	2184153	inositol biosynthetic process	proc	IBA
AT5G10170	2184153	inositol-3-phosphate synthase activity	func	IBA
AT5G10170	2184153	inositol biosynthetic process	proc	IEA
AT5G10170	2184153	inositol-3-phosphate synthase activity	func	IGI
AT5G10170	2184153	embryo development ending in seed dormancy	proc	IGI
AT5G10770	2183730	defense response	proc	IEA
AT5G10770	2183730	organic cyclic compound biosynthetic process	proc	IEA
AT5G10770	2183730	oxoacid metabolic process	proc	IEA
AT5G10770	2183730	aromatic compound biosynthetic process	proc	IEA
AT5G10770	2183730	molecular_function_unknown	func	ND
AT5G10770	2183730	terpenoid metabolic process	proc	IEA
AT5G10770	2183730	secondary metabolite biosynthetic process	proc	IEA
AT5G25415	505006637	biological_process_unknown	proc	ND
AT5G25415	505006637	molecular_function_unknown	func	ND
AT5G45750	2171943	intracellular protein transport	proc	IBA
AT5G45750	2171943	protein binding	func	IPI
AT5G45750	2171943	GTPase activity	func	IBA
AT5G45750	2171943	cell wall biogenesis	proc	IMP
AT5G45760	2171953	biological_process_unknown	proc	ND
AT5G45760	2171953	molecular_function_unknown	func	ND
AT5G45830	2152390	sequence-specific DNA binding	func	IEA
AT5G45830	2152390	seed dormancy process	proc	IMP
AT5G45830	2152390	regulation of seed dormancy process	proc	IMP
AT5G45830	2152390	sugar mediated signaling pathway	proc	IMP
AT5G45830	2152390	identical protein binding	func	IPI
AT5G45830	2152390	DNA-templated transcription	proc	IEA
AT5G45830	2152390	abscisic acid-activated signaling pathway	proc	IMP
AT5G45830	2152390	protein binding	func	IPI
AT5G53150	2163786	regulation of reproductive process	proc	IEA
AT5G53150	2163786	regulation of developmental process	proc	IEA
AT5G53150	2163786	photoperiodism, flowering	proc	IEA
AT5G53150	2163786	protein metabolic process	proc	IEA
AT5G53150	2163786	phyllome development	proc	IEA
AT5G53150	2163786	molecular_function_unknown	func	ND
AT5G53150	2163786	flower development	proc	IEA
AT5G53150	2163786	regulation of biological quality	proc	IEA
AT5G53150	2163786	positive regulation of macromolecule metabolic process	proc	IEA
AT5G53150	2163786	regulation of DNA-templated transcription	proc	IEA
