,rFitness_mhi,rFitness_mhp,rFitness_mli,rFitness_mlp,rFitness_thi,rFitness_thp,rFitness_tli,rFitness_tlp,rSurvival_fruit_mhi,rSurvival_fruit_mhp,rSurvival_fruit_mli,rSurvival_fruit_mlp,rSurvival_fruit_thi,rSurvival_fruit_thp,rSurvival_fruit_tli,rSurvival_fruit_tlp,rSeeds_mhi,rSeeds_mhp,rSeeds_mli,rSeeds_mlp,rSeeds_thi,rSeeds_thp,rSeeds_tli,rSeeds_tlp
G7MSH,-0.0581927218788921,0.00892237191248525,-0.0151029241807074,-0.0477479019506618,-0.0205062776097848,0.0730895486440747,0.0195133501751078,0.02459007142629,-0.0377667164676331,0.0190215034588314,-0.0388991240494179,-0.0488338703591056,-0.0033961935795075,0.0362844403162152,-0.000576777914111275,-0.054731207350163,-0.0152621868056255,-0.00316783080385431,0.0182239511991357,-0.0197945834657434,-0.0136118223705304,0.0446908150680775,0.155848814416242,-0.0205287792054107
G7MTH,-0.0767904375501168,-0.0264596158188399,0.0671131798825426,0.0276124301272067,0.00252729416703109,0.0357112561364284,0.0723113767731631,0.0719194679526339,-0.0573238667300397,-0.0359125660648633,0.00305949184888459,0.00109950647171209,0.0172958762933642,0.0110078727092185,0.0374484928481406,0.0368837228875686,-0.0191029992831002,-0.00263004994017775,0.055202588274036,0.0247248673821446,-0.00920026068066476,0.0200925736540722,0.0026945988396274,0.0472437211461277
G8MSO,-0.0689350469836722,0.0170894571004007,0.0310410722155533,-0.0542375036557657,-0.0152824933838965,0.0424053240108651,0.0248353718649034,0.0240115001731125,-0.0345285119447616,0.022943956189948,-0.0359391204208563,-0.129688432974285,0.0158236356023832,0.0554357335318811,0.00357659225372078,0.0073213597284402,-0.0315378366097889,-0.00834060859701576,-0.0858775764000132,-0.0994281389580945,-0.0258311641737745,-0.000240020358571249,0.0615635865664423,0.0298325664136694
G8MTO,-0.0655229408938192,0.00320695880058484,0.0195349241054028,0.0166421068468468,-0.00333325596915728,0.0220042223399402,0.0886346360332741,0.0691887363968639,-0.0413979192674201,-0.0148787032294216,-0.0380764992542245,-0.064277459830833,0.0141695031064651,0.0102987862602659,0.0418263305120167,0.0277967896336738,-0.021961487282998,0.00693448665813989,0.0535934133027527,-0.0512898833420967,-0.0131976738477705,0.0028650700952481,0.0658197583708811,0.0230817729087556
X16S_OTU0_1,0.250983793553241,0.237952031619532,0.143117365799792,0.0605062166858393,0.328242553300818,0.304174835796879,0.215437425964474,0.131549040176144,0.26828742168468,0.275616521320374,0.211534930615912,0.055937756448354,0.28501483727204,0.325885349968656,0.189106507318127,0.140510722473987,0.233561014520605,0.242097130857824,-0.0490695589096153,-0.070749178731326,0.334252339188842,0.233794461861126,0.041076554849055,0.166912566092377
X16S_OTU10_11,-0.425854545465617,-0.342452216092622,-0.347761452954158,0.0216480275705142,-0.387331976846942,-0.363325117708779,-0.256944646878593,-0.0967633241442277,-0.415898206797374,-0.316361025914037,-0.389185224422547,-0.159018528510013,-0.370726225490942,-0.394766623010384,-0.239795655968479,-0.103540301637225,-0.329900171948797,-0.408212456208057,-0.220349166736103,0.0734171276623154,-0.378212635467379,-0.302280816309259,-0.303464627247599,0.0957766343001224
X16S_OTU101_102,-0.194114320279673,-0.201301607132937,-0.0295641261980792,-0.0985685824888181,-0.272390598454377,-0.248664743339159,-0.267842521160581,-0.0832680953475994,-0.176769971909265,-0.142184989928522,-0.0998202252569037,-0.0746725695659885,-0.230778832980581,-0.217446748879594,-0.214282626325945,-0.0889888989592969,-0.169648938569517,-0.241795908875432,-0.00717061284940375,0.00357331287204352,-0.21687996119988,-0.183020647584636,-0.317868670321734,0.0725816597287449
X16S_OTU1026_1027,-0.146209527202254,-0.110037480900662,-0.240640275473027,0.0465635634865136,-0.172086131262326,-0.132620466708157,-0.207474874781995,-0.230504391071052,-0.151996662384008,-0.171120842929989,-0.175274935169038,0.0369832066396861,-0.197938805967773,-0.13728768826067,-0.195078417050442,-0.222994126535452,-0.13711891993084,-0.093874166615733,-0.0456006756288169,0.0133440496118474,-0.124932850477118,-0.149433336894806,0.137439741071434,0.00905995244445248
X16S_OTU1037_1038,0.329130325545205,0.349232055787704,0.273306803147889,0.146617391757858,0.33870344804735,0.311974464516005,0.310280193928392,0.172891719907434,0.373304813553127,0.400045687153021,0.284763233548394,0.186207210466204,0.365734760107602,0.296669403543145,0.309043831005403,0.236979160796781,0.276717708393325,0.293634817246414,0.095433067664986,-0.0166882190990153,0.326422538337913,0.356803314990465,0.176796570149598,0.119341728217174
X16S_OTU104_105,-0.405916236574352,-0.368349894429363,-0.218959226584194,-0.181798384575532,-0.394004874252236,-0.412293359009674,-0.491183254056941,-0.342184810803425,-0.414683555676444,-0.34815685412941,-0.248220547840747,-0.186667467386394,-0.420233988911897,-0.413261525335609,-0.47394402200403,-0.433023741347713,-0.352202932420622,-0.443903907959289,-0.0693762369503956,-0.0422236561406625,-0.381060611364167,-0.344803489591254,-0.369594160519827,-0.14598018175903
