pheno	MSE	NRMSE
PC_0709	0.134403205491738	0.168427064150113
PC_0712	0.684041749258113	0.16375877910227
PC_0785	0.187790383741162	0.160580024049433
PC_0846	0.316686302087248	0.127759992551677
PC_0858	0.326486808476693	0.147836229342275
PC_0866	3.14353699919514	0.206463911014801
PC_0932	0.46297535846828	0.148236581075352
PC_1145	0.0898767681338939	0.153472794830358
PC_1181	15.9779990386568	0.209179376440879
PC_1237	10.4091483114113	0.174693879021019
PC_1246	0.168632008794232	0.176632769016776
PC_1248	0.993148655842457	0.212967440830883
PC_1265	0.193791529974783	0.196016513163533
PC_1274	0.544147768366035	0.232098424278786
PC_1322	0.0900782586463804	0.176199741736393
PC_1401	0.276104662980602	0.183746641494239
PC_1410	6.29203880843479	0.237828820418589
PC_1435	0.176874653253853	0.171629738148497
PC_1465	2.22234083530561	0.164774846992725
PC_1490	0.437892406232307	0.179750250350755
PC_1491	2.02248347215605	0.15950009219254
PC_1493	1.64748736305368	0.145685707343337
PC_1528	0.313690970317284	0.154181137250683
PC_1533	1.57848573868181	0.200726511000305
PC_1732	0.260912416832066	0.180209401458405
PC_1734	0.904454254530835	0.182291712063105
PC_1755	0.696366627893536	0.190410340543187
PC_1782	1.19370923816218	0.156948881834795
PC_1857	0.145417711066326	0.139578374012647
PC_1976	1.25521217864377	0.0949213523965042
PC_1998	0.799551364259689	0.134667056911122
PC_2045	0.192147015831965	0.113337143956609
PC_2372	3.49120927456809	0.16293902734432
PC_2395	1.49933328982366	0.173156387676316
PC_2413	1.0797781770231	0.180164635439829
met01	0.519714524238069	0.15294051609899
met02	0.883674363287583	0.162509563928609
met03	0.525295468095079	0.144943252045794
met04	0.812105712891669	0.174714010192424
met05	0.851217621771126	0.197826469955741
met06	0.555362581177977	0.155232312437072
met07	0.887373186685384	0.176776148448607
met08	0.693210282864912	0.196160399877988
met09	0.797212939502578	0.144564191785042
met10	0.602406017974971	0.141588415373508
met11	0.578697712765447	0.108311573744348
met12	0.45376144213722	0.125158657239275
met13	0.48770582714748	0.137910786404498
met14	0.665764898712931	0.120125949206715
met15	0.761151842188437	0.159472704059418
met16	0.731409310873128	0.160111588035136
met17	0.986536410026108	0.162541039774172
met18	0.976574421551699	0.20126575030715
met19	0.849936110486895	0.204487595216799
met20	0.455324832754048	0.151812483113419
met21	0.6245214324881	0.155576070761273
met22	0.429623923099533	0.145796759995113
met23	0.494157569322797	0.126421579156799
met24	0.821789745034923	0.159126101138605
met25	0.753695019675926	0.106100492374299
met26	0.885987223941588	0.180673186220154
met27	0.612518145576714	0.145282921309076
met28	0.670660844180496	0.148994920280647
met29	0.757091326467699	0.188681221263422
met30	0.802679923064233	0.200089174795689
met31	0.556415562234891	0.14611689709021
met32	1.03554341019054	0.127481062460422
met33	0.551709495432261	0.143715330907809
met34	0.898353700584849	0.136645986825933
met35	0.517574827978817	0.172402367584975
met36	0.552119614132822	0.140691665867821
met37	0.63220884202811	0.125415949618777
met38	0.647410906572902	0.128954320141619
met39	0.653898325223336	0.181643164027871
met40	0.765764323909062	0.17647582810823
met41	0.793881513888785	0.175569018843835
met42	1.05156255848728	0.166416322932377
met43	0.416013873139788	0.138236751186882
met44	0.671013334759771	0.144532525126188
met45	0.777956707514936	0.184311405347134
met46	0.638417273492527	0.149660407751857
met47	1.07124495979631	0.11604248382768
met48	0.609861544689167	0.146359958168247
met49	0.894384697323907	0.114283082552891
met50	0.808411372408226	0.162086491521662
met51	0.653264094905076	0.162347597808347
met52	1.23949019327318	0.166874360156165
met53	0.482054984780275	0.16505106395063
met54	0.567844673663274	0.158189099072955
met55	0.856613025553689	0.176225962132406
met56	0.529128926552317	0.167612340243032
met57	0.978907668739353	0.180293988150179
met58	0.641615289271781	0.15164706983993
met59	0.910945438976698	0.188297449023801
met60	0.53643974059551	0.131064818806098
met61	0.920144488705627	0.183345240311421
met62	0.944673380227054	0.188736635349027
met63	0.734077248377779	0.131489586098975
met64	0.885931110437131	0.172448755871871
met65	0.863408862435988	0.126351576596472
met66	0.834292204390625	0.137104982464096
met67	0.823932592669114	0.17774695523956
met68	0.762272620370761	0.169416017873299
met69	0.836663849522629	0.171290129665555
met70	0.516783756650147	0.140987169643588
met71	1.07632339400683	0.163204801771265
met72	0.603065897494555	0.11400919380356
met73	0.925732466033398	0.159633867369195
met74	0.589573840960942	0.118183864584025
